"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Status","Mature","Language","URL"
"22","https://static-cdn.jtvnw.net/jtv_user_pictures/8f89b1cc-4c97-4e2b-a6d8-b288f3963bc5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Castro_1021","1399984995","88500","108599","15818","3716579","451658","22607930","Partner","false","English","https://www.twitch.tv/castro_1021"
"23","https://static-cdn.jtvnw.net/jtv_user_pictures/96c7735e-81d8-4799-b99a-f5fc0a09ea64-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","PlayHearthstone","1398944115","80460","135243","17386","868451","132549","57311331","Partner","false","English","https://www.twitch.tv/playhearthstone"
"24","https://static-cdn.jtvnw.net/jtv_user_pictures/b8d29c69-1398-4641-9a62-39c2de7296b5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","StarLadder_cs_en","1382653650","52950","329195","26111","944852","390441","36950160","Partner","false","English","https://www.twitch.tv/starladder_cs_en"
"25","https://static-cdn.jtvnw.net/jtv_user_pictures/401068e0-820a-4d9f-9e7c-1e5563398458-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","nl_Kripp","1330056060","133710","52924","9946","1519568","120347","22425422","Partner","false","English","https://www.twitch.tv/nl_kripp"
"26","https://static-cdn.jtvnw.net/jtv_user_pictures/f170344d-7a60-47fa-8be6-a74e803fcf12-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","BeyondTheSummit","1319520990","522375","116547","2525","1172951","124355","39141222","Partner","false","English","https://www.twitch.tv/beyondthesummit"
"27","https://static-cdn.jtvnw.net/jtv_user_pictures/a28b0d37-81d0-415a-8ed8-1a1f998ea26d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Fextralife","1292529390","103155","48467","12529","1600214","96417","430356036","Partner","false","English","https://www.twitch.tv/fextralife"
"28","https://static-cdn.jtvnw.net/jtv_user_pictures/a6d8c949-cf8d-4e7a-9f92-b7c81002d499-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Vader","1243243275","168375","50421","7383","456694","289065","16242366","Partner","false","English","https://www.twitch.tv/vader"
"29","https://static-cdn.jtvnw.net/jtv_user_pictures/yassuo-profile_image-cfd7ef046e50e94b-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Yassuo","1179992370","97920","60568","12050","1997969","528923","33500189","Partner","false","English","https://www.twitch.tv/yassuo"
"30","https://static-cdn.jtvnw.net/jtv_user_pictures/a6af42bf-64db-42f6-9db6-88d3e85e4c34-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","DrLupo","1154091900","161010","105810","7167","4396717","878029","43461658","Partner","false","English","https://www.twitch.tv/drlupo"
"31","https://static-cdn.jtvnw.net/jtv_user_pictures/thijs-profile_image-d1855265a6df68d1-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Thijs","1133804880","122640","28869","9244","796420","133152","22072550","Partner","false","English","https://www.twitch.tv/thijs"
"32","https://static-cdn.jtvnw.net/jtv_user_pictures/1d41de3c-731d-41ae-b0e7-615ad74db8f3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Symfuhny","1116999495","142620","45671","7831","4124272","1195697","26913357","Partner","false","English","https://www.twitch.tv/symfuhny"
"33","https://static-cdn.jtvnw.net/jtv_user_pictures/4a6fb75f-7184-4d73-9ed5-669bc15ebbe2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","dota2ti","1105956510","7965","483530","138851","1328351","147846","17756875","Partner","false","English","https://www.twitch.tv/dota2ti"
"34","https://static-cdn.jtvnw.net/jtv_user_pictures/d57c5237-ca9d-432c-9560-d5e62b28ce80-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","AdmiralBahroo","1104351480","142635","54643","7742","843917","123411","13965981","Partner","false","English","https://www.twitch.tv/admiralbahroo"
"35","https://static-cdn.jtvnw.net/jtv_user_pictures/91e7b44f-d4e8-4121-a19c-e9266358a08a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Method","1078439925","49545","148350","21766","441327","227967","33652276","Partner","false","English","https://www.twitch.tv/method"
"36","https://static-cdn.jtvnw.net/jtv_user_pictures/gorgc-profile_image-469e05d25a1e8594-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","Gorgc","1030974225","138150","24058","7462","774286","132438","17823696","Partner","false","English","https://www.twitch.tv/gorgc"
"37","https://static-cdn.jtvnw.net/jtv_user_pictures/875051f0-fd79-409f-bd1c-5a1eac2f7684-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","DisguisedToast","994458480","90840","38169","10946","2833929","409685","20223713","Partner","false","English","https://www.twitch.tv/disguisedtoast"
"38","https://static-cdn.jtvnw.net/jtv_user_pictures/maximilian_dood-profile_image-c6e12e1798861491-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Maximilian_DOOD","986991840","111045","27773","8887","1361738","152322","13076509","Partner","false","English","https://www.twitch.tv/maximilian_dood"
"39","https://static-cdn.jtvnw.net/jtv_user_pictures/6c5ba4a1-5c61-4ff6-a7f4-ac791c19aef2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TFBlade","959073765","134850","53026","7111","1235270","438105","28313966","Partner","false","English","https://www.twitch.tv/tfblade"
"40","https://static-cdn.jtvnw.net/jtv_user_pictures/2f5addde-fd0d-4a10-82a9-ea91ebb17f8d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Quin69","947794245","191130","36742","4958","950819","99042","18755201","Partner","false","English","https://www.twitch.tv/quin69"
"41","https://static-cdn.jtvnw.net/jtv_user_pictures/38bcb747-1d2e-42c0-ad59-6f11fa5e8c86-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","RocketLeague","939148410","26295","206681","35715","4852987","270693","31791081","Partner","false","English","https://www.twitch.tv/rocketleague"
"42","https://static-cdn.jtvnw.net/jtv_user_pictures/admiralbulldog-profile_image-888d5b80958e636f-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","AdmiralBulldog","918354705","151155","23395","6075","778902","104093","18188242","Partner","false","English","https://www.twitch.tv/admiralbulldog"
"43","https://static-cdn.jtvnw.net/jtv_user_pictures/75260307-584a-4eb7-99ba-d2708d27795e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","SypherPK","891274365","145800","130401","6112","7228305","870718","24777643","Partner","false","English","https://www.twitch.tv/sypherpk"
"44","https://static-cdn.jtvnw.net/jtv_user_pictures/80542f40-4016-499d-9965-19197a5a0006-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Fortnite","857115045","19830","488539","43222","6362098","1117802","41630649","Partner","false","English","https://www.twitch.tv/fortnite"
"45","https://static-cdn.jtvnw.net/jtv_user_pictures/imaqtpie-profile_image-8efb10b7bed60d76-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","imaqtpie","856540335","170115","26056","5034","2575023","116375","21590766","Partner","false","English","https://www.twitch.tv/imaqtpie"
"46","https://static-cdn.jtvnw.net/jtv_user_pictures/929b9591-07c5-4adb-adf0-5f0897332391-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Rainbow6","852846615","67290","143645","12673","3249894","339870","15109929","Partner","false","English","https://www.twitch.tv/rainbow6"
"47","https://static-cdn.jtvnw.net/jtv_user_pictures/9da37209-4a33-4625-a485-092ae8c00e4c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","callofduty","852845430","33015","170131","25831","2385805","179450","15946548","Partner","false","English","https://www.twitch.tv/callofduty"
"48","https://static-cdn.jtvnw.net/jtv_user_pictures/07156e3d-eac2-4d5f-acc1-8a942a59e6e2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","chocoTaco","849726315","171645","18878","4950","1316236","454559","21765038","Partner","false","English","https://www.twitch.tv/chocotaco"
"49","https://static-cdn.jtvnw.net/jtv_user_pictures/da28bd64-f6a1-4b49-9b6b-0a6faf94c700-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","Fresh","843843750","156450","20385","5393","4469784","1328834","16517896","Community","false","English","https://www.twitch.tv/fresh"
"50","https://static-cdn.jtvnw.net/jtv_user_pictures/941b4ebc-23c9-4bee-893c-ac636a11ef4f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","dasMEHDI","830411580","208185","12241","3988","463653","92440","5030528","Partner","true","English","https://www.twitch.tv/dasmehdi"
